Ngpam Status,Siem Status,Uim Status,Rack,Hostname,Create Date,Site Code,Deployment Year,Ne Category,Os Version,User Ilo,Floor,Capacity,Server Type,Eos Date,Xdr Status,Po Number,Prod Status,Floor Room,Status,Ne Type,Site Name,In Service,Modify Date,Tahun Eos,Eos Score Klasifikasi,Uim Score Klasifikasi,Siem Score Klasifikasi,Xdr Score Klasifikasi,Klasifikasi Risk Score,Risk Level
DONE,DONE,Monitored UIM,0,bcpprobeygypapp2,2026-07-02 16:59:42 WIB,YGY,2023 (BCP 11),PROBE,Rocky Linux 8.10,root,0,60,DELL PowerEdge R750,2028,DONE,4100004105,Prod,0,Unknown,PROBE,Yogyakarta,YES,2026-07-02 16:59:42 WIB,2,30,0,0,0,12.0,Low
DONE,DONE,Not Installed Agent UIM,#16,bcpnstoreygypapp1,2026-07-02 16:59:42 WIB,YGY,2022 (BCP 10),NSTORE,Rocky Linux 8.10,administrator,1,0,HP DL380 Gen10,2027,DONE,4200029841,Prod,1,Unknown,NSTORE,Yogyakarta,YES,2026-07-02 16:59:42 WIB,1,60,100,0,0,49.0,Medium
DONE,DONE,Not Installed Agent UIM,#16,bcpprobeygypapp1,2026-07-02 16:59:42 WIB,YGY,2022 (BCP 10),PROBE,Rocky Linux 8.10,administrator,1,100,HP DL380 Gen10,2027,DONE,4200029841,Prod,1,Unknown,PROBE,Yogyakarta,YES,2026-07-02 16:59:42 WIB,1,60,100,0,0,49.0,Medium
DONE,Not Feasible,Not Available,#16,bcpswitchygypapp2,2026-07-02 16:59:42 WIB,YGY,2022 (BCP 10),SWITCH,Unknown,Unknown,1,Unknown,Cisco C9300-48T,2027,Not Feasible,4200029841,Prod,1,Unknown,SWITCH,Yogyakarta,YES,2026-07-02 16:59:42 WIB,1,60,100,100,100,84.0,High
DONE,Not Feasible,Not Available,#16,bcpswitchygypapp1,2026-07-02 16:59:42 WIB,YGY,2022 (BCP 10),SWITCH,Unknown,Unknown,1,Unknown,Cisco C9300-48T,2027,Not Feasible,4200029841,Prod,1,Unknown,SWITCH,Yogyakarta,YES,2026-07-02 16:59:42 WIB,1,60,100,100,100,84.0,High
DONE,DONE,Monitored UIM,0,bcpprobetmkpapp4,2026-07-02 16:59:42 WIB,TMK,2023 (BCP 11),PROBE,Rocky Linux 8.10,root,0,60,DELL PowerEdge R750,2028,DONE,4100004105,Prod,0,Unknown,PROBE,Timika,YES,2026-07-02 16:59:42 WIB,2,30,0,0,0,12.0,Low
DONE,DONE,Not Installed Agent UIM,BCP-8,bcpprobetmkpapp3,2026-07-02 16:59:42 WIB,TMK,2021 (BCP 9),PROBE,Rocky Linux 8.10,administrator,0,40,HP DL380 GEN10,2027,DONE,4200029838,Prod,0,Ex HRM (bcpprobehrmpapp10),PROBE,Timika,YES,2026-07-02 16:59:42 WIB,1,60,100,0,0,49.0,Medium
DONE,Not Feasible,Not Available,BCP-VSS,bcpswitchtmkpapp2,2026-07-02 16:59:42 WIB,TMK,2016 (BCP 4),SWITCH,Unknown,Unknown,2,Unknown,Switch Quanta 1G LB9,2026,Not Feasible,HOP160072,Prod,2,Unknown,SWITCH,Timika,YES,2026-07-02 16:59:42 WIB,0,100,100,100,100,100.0,High
DONE,Not Feasible,Not Available,BCP-VSS,bcpswitchtmkpapp1,2026-07-02 16:59:42 WIB,TMK,2016 (BCP 4),SWITCH,Unknown,Unknown,2,Unknown,Switch Quanta 1G LB9,2026,Not Feasible,HOP160072,Prod,2,Unknown,SWITCH,Timika,YES,2026-07-02 16:59:42 WIB,0,100,100,100,100,100.0,High
DONE,DONE,Monitored UIM,0,bcpprobetbspapp9,2026-07-02 16:59:42 WIB,TBS,2023 (BCP 11),PROBE,Unknown,root,0,60,DELL PowerEdge R750,2026,DONE,4100004105,Unknown,0,Reloc to bcpprobebtmpapp3,PROBE,TB Simatupang (JKT),,2026-07-02 16:59:42 WIB,0,100,0,0,0,40.0,Medium
