Site Name,Device Count,EOS,XDR,UIM,SIEM,EOS Score,UIM Score,SIEM Score,XDR Score,Device Score,Risk Score
Malang,4,4.0,0.0,4.0,0.0,100.0,100.0,0.0,0.0,9.523809523809524,61.42857142857143
Yogyakarta,5,4.0,2.0,4.0,2.0,80.0,80.0,40.0,40.0,11.904761904761903,59.785714285714285
Timika,4,3.0,2.0,3.0,2.0,75.0,75.0,50.0,50.0,9.523809523809524,58.92857142857143
Bumi Serpong Damai,20,14.0,2.0,15.0,2.0,70.0,75.0,10.0,10.0,47.61904761904761,52.64285714285714
Buaran (JKT),42,19.0,22.0,13.0,5.0,45.23809523809524,30.952380952380953,11.904761904761903,52.38095238095239,100.0,48.333333333333336
HR Muhammad,14,9.0,2.0,8.0,2.0,64.28571428571429,57.14285714285714,14.285714285714285,14.285714285714285,33.33333333333333,45.71428571428572
Gayungan,17,9.0,4.0,10.0,4.0,52.94117647058824,58.82352941176471,23.52941176470588,23.52941176470588,40.476190476190474,44.89495798319328
Arifin Ahmad,13,6.0,4.0,9.0,4.0,46.15384615384615,69.23076923076923,30.76923076923077,30.76923076923077,30.952380952380953,44.64285714285714
Semarang,11,6.0,0.0,9.0,0.0,54.54545454545454,81.81818181818183,0.0,0.0,26.190476190476193,42.11038961038962
Palu,2,1.0,0.0,2.0,0.0,50.0,100.0,0.0,0.0,4.761904761904762,40.714285714285715
TB Simatupang (JKT),30,12.0,5.0,13.0,4.0,40.0,43.333333333333336,13.333333333333334,16.666666666666664,71.42857142857143,39.214285714285715
Soekarno Hatta Bandung,14,6.0,2.0,9.0,2.0,42.857142857142854,64.28571428571429,14.285714285714285,14.285714285714285,33.33333333333333,38.57142857142858
Singaraja,5,2.0,0.0,5.0,0.0,40.0,100.0,0.0,0.0,11.904761904761903,37.785714285714285
Solo,10,4.0,0.0,7.0,0.0,40.0,70.0,0.0,0.0,23.809523809523807,33.57142857142857
Maumere,5,1.0,2.0,3.0,2.0,20.0,60.0,40.0,40.0,11.904761904761903,31.785714285714285
Dago Bandung,15,4.0,2.0,9.0,2.0,26.666666666666668,60.0,13.333333333333334,13.333333333333334,35.714285714285715,31.357142857142858
Renon Bali,10,2.0,3.0,6.0,3.0,20.0,60.0,30.0,30.0,23.809523809523807,31.07142857142857
Sorong,2,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,4.761904761904762,30.714285714285715
Jayapura,2,1.0,0.0,1.0,0.0,50.0,50.0,0.0,0.0,4.761904761904762,30.714285714285715
Pengayoman,9,4.0,0.0,4.0,0.0,44.44444444444444,44.44444444444444,0.0,0.0,21.428571428571427,29.880952380952383
Banjar Baru,6,0.0,2.0,5.0,2.0,0.0,83.33333333333334,33.33333333333333,33.33333333333333,14.285714285714285,27.142857142857142
Batam,4,0.0,2.0,2.0,2.0,0.0,50.0,50.0,50.0,9.523809523809524,23.928571428571427
Padang,4,0.0,2.0,2.0,2.0,0.0,50.0,50.0,50.0,9.523809523809524,23.928571428571427
Ambon,4,0.0,2.0,2.0,2.0,0.0,50.0,50.0,50.0,9.523809523809524,23.928571428571427
Balikpapan,6,0.0,2.0,4.0,2.0,0.0,66.66666666666666,33.33333333333333,33.33333333333333,14.285714285714285,23.809523809523807
Aceh / Lambaro,5,0.0,2.0,2.0,2.0,0.0,40.0,40.0,40.0,11.904761904761903,19.785714285714285
Palangkaraya,3,1.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,7.142857142857142,14.404761904761903
Demang Lebar Daun Palembang,11,0.0,2.0,3.0,2.0,0.0,27.27272727272727,18.181818181818183,18.181818181818183,26.190476190476193,13.928571428571429
Amir Hamzah,9,0.0,2.0,2.0,2.0,0.0,22.22222222222222,22.22222222222222,22.22222222222222,21.428571428571427,13.214285714285714
Sudiang,9,1.0,0.0,2.0,0.0,11.11111111111111,22.22222222222222,0.0,0.0,21.428571428571427,12.103174603174603
Kenanga,8,1.0,0.0,1.0,0.0,12.5,12.5,0.0,0.0,19.047619047619047,10.357142857142858
Lampung,5,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,11.904761904761903,5.785714285714286
Pematang Siantar,8,0.0,0.0,1.0,0.0,0.0,12.5,0.0,0.0,19.047619047619047,5.357142857142858
Jambi,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.904761904761903,1.7857142857142854
Pontianak,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,1.0714285714285714
Kupang,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.7142857142857143
Cirebon,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.7142857142857143
Samarinda,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.7142857142857143
Paniki,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.7142857142857143
